c0,c1,org,category,name,city,address,zip,link,linkType
-78.9426613,35.9701993,Pilgrim United Church of Christ,Religious organization,Pilgrim United Church of Christ,Durham,3011 Academy Rd,27707,https://www.facebook.com/PilgrimUCC/photos/a.454769086737.250349.23310651737/10154051656616738/?type=3&theater,facebook
-78.916603,35.996435,Durham Coop Market,Grocery,Durham Coop Market,Durham,1111 W Chapel Hill St,27701,https://www.facebook.com/durhamcoopmarket/photos/a.140652045983096.24509.108333482548286/959623730752586/?type=3&theater,facebook
-78.9010705,36.00396,Cocoa Cinnamon,Food and drink,Cocoa Cinnamon - Geer St,Durham,420 W Geer St,27701,https://www.facebook.com/CocoaCinnamonDream/photos/a.305726846105597.82408.292851927393089/1150902954921311/?type=3&theater,facebook
-78.9301334,36.0116636,Cocoa Cinnamon,Food and drink,Cocoa Cinnamon - Hillsborough Rd,Durham,2627 Hillsborough Rd,27705,https://www.facebook.com/CocoaCinnamonDream/photos/a.305726846105597.82408.292851927393089/1150902954921311/?type=3&theater,facebook
-78.9389328,35.9095152,Bean Traders,Food and drink,Bean Traders,Durham,105 W North Carolina 54 #249,27713,https://twitter.com/beantraders/status/713853386676785152,facebook
-78.8361246,35.9475143,Frisky Business Boutique,Shopping,Frisky Business Boutique,Durham,1720 New Raleigh Hwy,27703,https://www.facebook.com/FriskyBusinessBoutique/?rf=135170593198160,facebook
-78.9188929,36.016502,Oval Park Grille,Food and drink,Oval Park Grille,Durham,1116 Broad St,27701,https://www.instagram.com/p/BDY8rCYlThT/,instagram
-78.9218719,36.0084038,Blue Corn Cafe,Food and drink,Blue Corn Cafe,Durham,716 9th St,27705,https://twitter.com/CafeCorn/status/713860254136664064,twitter
-78.901588,35.995306,Global Breath Studio,Health and wellness,Global Breath Studio,Durham,119 W Main St #300,27701,,
-78.9215636,36.013911,Monuts Donuts,Food and drink,Monuts Donuts,Durham,1002 9th St,27705,https://twitter.com/MonutsDonuts/status/713891281617944576,twitter
-78.9218712,36.0093088,Metro 8 Steakhouse,Food and drink,Metro 8 Steakhouse,Durham,746 9th St,27705,https://www.facebook.com/permalink.php?story_fbid=10103884005733297&id=86233996949&comment_id=10103885440008997&notif_t=share_comment,facebook
-78.9029143,35.9966967,Ninth Street Bakery,Food and drink,Ninth Street Bakery,Durham,136 E Chapel Hill St,27701,https://twitter.com/ninthstbakery/status/714056754217291776,twitter
-78.8902843,35.9902072,The Shed Jazz Club,Arts and entertainment,The Shed Jazz Club,Durham,807 E Main St,27701,,
-78.9008447,35.9955902,The Carrack ,Arts and entertainment,The Carrack ,Durham,111 W Parrish St,27701,,
-78.8902959,35.9901406,Dogstar Tattoo Company,Arts and entertainment,Dogstar Tattoo Company,Durham,807 E Main St,27701,,
-78.9633962,35.9659346,Atomic Empire,Shopping,Atomic Empire,Durham,3400 Westgate Dr,27707,https://twitter.com/Atomic_Empire/status/714123880500047872,twitter
-78.919709,36.013986,1005 Wellness Center,Health and wellness,1005 Wellness Center,Durham,1005 Broad St,27705,,
-78.9549282,35.9782965,Judea Reform Congregation,Religious organization,Judea Reform Congregation,Durham,1933 W Cornwallis Rd,27705,https://www.facebook.com/Judea-Reform-489402415789/timeline,facebook
-78.9008417,35.9954828,Luna Rotisserie and Empanadas,Food and drink,Luna Rotisserie and Empanadas,Durham,112 W Main St,27701,https://www.facebook.com/749437915135634/photos/a.806402316105860.1073741828.749437915135634/973560802723343/?type=3&theater,facebook
-78.9382286,36.0014258,Duke University,Education,Duke University,Durham,,27708,,
-78.89818,36.001224,Durty Bull Brewing Co,Brewery,Durty Bull Brewing Co,Durham,206 Broadway St #104,27701,,
-78.8996359,36.0030985,Fullsteam Brewery,Brewery,Fullsteam Brewery,Durham,726 Rigsbee Ave,27701,,
