c0,c1,org,category,name,city,state,address,zip,org,link,link-type
-80.8040482,35.2477994,FÅ«D at Salud,Food and drink,FÅ«D at Salud,Charlotte,NC,3306 N Davidson St,28205,,,
-80.849507,35.166707,Pfeiffer University,Education,Pfeiffer University at Charlotte,Charlotte,NC,4701 Park Rd,28209,,,
-80.8304447,35.2173949,Central Piedmont Community College,Education,Central Piedmont Community College,Charlotte,NC,1201 Elizabeth Ave,28204,,,
-80.8451966,35.5000366,Davidson College,Education,Davidson College,Davidson,NC,405 N Main St,28035,,,
-78.9014677,35.9953086,The Pinhook,Arts and entertainment,The Pinhook,Durham,NC,117 W Main St,27701,The Pinhook,https://www.instagram.com/p/BDV5Iv7tmCk/?taken-by=the_pinhook,Instagram
-78.898619,35.9940329,Moogfest,Arts and entertainment,Moogfest,Durham,NC,,,Moogfest,http://www.moogfest.com/<br>Src:https://www.instagram.com/p/BDZRys7zM0v/?taken-by=moogfest,Instagram
-78.9426613,35.9701993,Pilgrim United Church of Christ,Religious organization,Pilgrim United Church of Christ,Durham,NC,3011 Academy Rd,27707,Pilgrim United Church of Christ,https://www.facebook.com/PilgrimUCC/photos/a.454769086737.250349.23310651737/10154051656616738/?type=3&theater,Facebook
-78.916603,35.996435,Durham Coop Market,Grocery,Durham Coop Market,Durham,NC,1111 W Chapel Hill St,27701,Durham Coop Market,https://www.facebook.com/durhamcoopmarket/photos/a.140652045983096.24509.108333482548286/959623730752586/?type=3&theater,Facebook
-78.9010705,36.00396,Cocoa Cinnamon,Food and drink,Cocoa Cinnamon - Geer St,Durham,NC,420 W Geer St,27701,Cocoa Cinnamon,https://www.facebook.com/CocoaCinnamonDream/photos/a.305726846105597.82408.292851927393089/1150902954921311/?type=3&theater,Facebook
-78.9301334,36.0116636,Cocoa Cinnamon,Food and drink,Cocoa Cinnamon - Hillsborough Rd,Durham,NC,2627 Hillsborough Rd,27705,Cocoa Cinnamon,https://www.facebook.com/CocoaCinnamonDream/photos/a.305726846105597.82408.292851927393089/1150902954921311/?type=3&theater,Facebook
-78.9389328,35.9095152,Bean Traders,Food and drink,Bean Traders,Durham,NC,105 W North Carolina 54 #249,27713,Bean Traders,https://twitter.com/beantraders/status/713853386676785152,Twitter
-78.8361246,35.9475143,Frisky Business Boutique,Shopping,Frisky Business Boutique,Durham,NC,1720 New Raleigh Hwy,27703,Frisky Business Boutique,https://www.facebook.com/FriskyBusinessBoutique/?rf=135170593198160,Facebook
-78.9188929,36.016502,Oval Park Grille,Food and drink,Oval Park Grille,Durham,NC,1116 Broad St,27701,Oval Park Grille,https://www.instagram.com/p/BDY8rCYlThT/,Instagram
-78.9218719,36.0084038,Blue Corn Cafe,Food and drink,Blue Corn Cafe,Durham,NC,716 9th St,27705,Blue Corn Cafe,https://twitter.com/CafeCorn/status/713860254136664064,Twitter
-78.901588,35.995306,Global Breath Studio,Health and wellness,Global Breath Studio,Durham,NC,119 W Main St #300,27701,,,
-78.9215636,36.013911,Monuts Donuts,Food and drink,Monuts Donuts,Durham,NC,1002 9th St,27705,Monuts Donuts,https://twitter.com/MonutsDonuts/status/713891281617944576,Twitter
-78.9218712,36.0093088,Metro 8 Steakhouse,Food and drink,Metro 8 Steakhouse,Durham,NC,746 9th St,27705,Metro 8 Steakhouse,https://www.facebook.com/permalink.php?story_fbid=10103884005733297&id=86233996949&comment_id=10103885440008997&notif_t=share_comment,Facebook
-78.9029143,35.9966967,Ninth Street Bakery,Food and drink,Ninth Street Bakery,Durham,NC,136 E Chapel Hill St,27701,Ninth Street Bakery,https://twitter.com/ninthstbakery/status/714056754217291776,Twitter
-78.8902843,35.9902072,The Shed Jazz Club,Arts and entertainment,The Shed Jazz Club,Durham,NC,807 E Main St,27701,,,
-78.9008447,35.9955902,The CarrackÂ ,Arts and entertainment,The CarrackÂ ,Durham,NC,111 W Parrish St,27701,,,
-78.8902959,35.9901406,Dogstar Tattoo Company,Arts and entertainment,Dogstar Tattoo Company,Durham,NC,807 E Main St,27701,,,
-78.9633962,35.9659346,Atomic Empire,Shopping,Atomic Empire,Durham,NC,3400 Westgate Dr,27707,Atomic Empire,https://twitter.com/Atomic_Empire/status/714123880500047872,Twitter
-78.919709,36.013986,1005 Wellness Center,Health and wellness,1005 Wellness Center,Durham,NC,1005 Broad St,27705,,,
-78.9549282,35.9782965,Judea Reform Congregation,Religious organization,Judea Reform Congregation,Durham,NC,1933 W Cornwallis Rd,27705,Judea Reform Congregation,https://www.facebook.com/Judea-Reform-489402415789/timeline,Facebook
-78.9008417,35.9954828,Luna Rotisserie and Empanadas,Food and drink,Luna Rotisserie and Empanadas,Durham,NC,112 W Main St,27701,Luna Rotisserie and Empanadas,https://www.facebook.com/749437915135634/photos/a.806402316105860.1073741828.749437915135634/973560802723343/?type=3&theater,Facebook
-78.9382286,36.0014258,Duke University,Education,Duke University,Durham,NC,,27708,,,
-78.89818,36.001224,Durty Bull Brewing Co,Brewery,Durty Bull Brewing Co,Durham,NC,206 Broadway St #104,27701,,,
-78.8996359,36.0030985,Fullsteam Brewery,Brewery,Fullsteam Brewery,Durham,NC,726 Rigsbee Ave,27701,,,
-78.8980928,35.9933185,Old Havana Sandwich Shop,Food and drink,Old Havana Sandwich Shop,Durham,NC,310 E Main St,27701,,,
-78.90222,35.996644,The Parlour,Food and drink,The Parlour,Durham,NC,117 Market St,27701,,,
-78.9199814,36.0086343,American Dance Festival,Arts and entertainment,American Dance Festival,Durham,NC,715 Broad St,27705,,,
-78.8962889,35.972982,North Carolina Central University,Education,North Carolina Central University,Durham,NC,,,,,
-78.9044638,35.993246,McKinney,Professional service,McKinney,Durham,NC,318 Blackwell St,27701,,,
-78.9189648,36.015767,Joe Van Gogh Broad Street,Food and drink,Joe Van Gogh Broad Street,Durham,NC,1104 Broad St,27705,,,
-78.897839,36.000278,LGBTQ Center of Durham,Community organization,LGBTQ Center of Durham,Durham,NC,114 Hunt St,27701,,,
-79.5043469,36.1048739,Elon University,Education,Elon University,Elon,NC,100 Campus Drive,27244,,,
-82.4482806,35.546103,Mountain Mojo,Food and drink,Mountain Mojo,Fairview,NC,381 Old Charlotte Hwy,28730,,,
-78.9498038,35.0856666,Fort Video & News,Shopping,Fort Video & News,Fayetteville,NC,4431 Bragg Blvd,28303,,,
-83.3811156,35.181255,Goshen Timber Frames,Professional service,Goshen Timber Frames,Franklin,NC,37 Phillips St,28734,,,
-79.790381,36.0687771,Green Bean,Food and drink,Green Bean,Greensboro,NC,341 S Elm St,27401,Green Bean,https://www.instagram.com/p/BDYe7tOB_gM/?taken-by=deconstructinggender,Instagram
-79.8133482,36.0921063,1618 Wine Lounge,Food and drink,1618 Wine Lounge,Greensboro,NC,1724 Battleground Ave,27408,1618 Wine Lounge,https://www.facebook.com/guilfordgreenfoundation/photos/a.240175426019577.51795.210257812344672/1027688303934948/?type=3&theater,Facebook
-79.8157336,36.0955455,Geeksboro Coffeehouse Cinema,Arts and entertainment,Geeksboro Coffeehouse Cinema,Greensboro,NC,2134 Lawndale Dr,27408,Geeksboro Coffeehouse Cinema,https://www.facebook.com/Geeksboro/photos/a.300798066684194.64323.300795156684485/902659139831414/?type=3&theater,Facebook
-79.7841677,36.0704284,Interactive Resource Center,Community organization,Interactive Resource Center,Greensboro,NC,407 E Washington St,27401,Interactive Resource Center,https://www.facebook.com/gsodaycenter/photos/a.394134033847.171009.103218153847/10153485701388848/?type=3&theater,Facebook
-79.816646,36.0967849,Shelf Life Art + Supply Co.,Shopping,Shelf Life Art + Supply Co.,Greensboro,NC,2178 Lawndale Dr,27408,Shelf Life Art + Supply Co.,https://www.facebook.com/ShelfLifeArt/posts/531466503693228,Facebook
-79.819587,36.0933978,TLC Counseling,Health and wellness,TLC Counseling,Greensboro,NC,1821 Lendew St,27408,,,
-79.7907803,36.0687587,Design Archives Emporium,Shopping,Design Archives Emporium,Greensboro,NC,342 S Elm St,27401,,,
-79.7933122,36.0795576,Deep Roots Market,Grocery,Deep Roots Market,Greensboro,NC,600 N Eugene St,27401,,,
-79.7908096,36.0699651,Scuppernong Books,Shopping,Scuppernong Books,Greensboro,NC,304 S Elm St,27401,,,
-79.761559,36.087761,YWCA Greensboro,Community organization,YWCA Greensboro,Greensboro,NC,1807 Wendover Ave E,27405,,,
-79.8907564,36.0963643,Guilford College,Education,Guilford College,Greensboro,NC,5800 W Friendly Ave,27410,,,
-79.78442,36.1010459,Vida pour Tea,Food and drink,Vida pour Tea,Greensboro,NC,412 State St,27405,,,
-77.3710735,35.6111139,Sup Dogs,Food and drink,Sup Dogs - Greenville,Greenville,NC,213 E 5th St,27858,Sup Dogs,https://www.instagram.com/p/BDZQn47mnyp/,Instagram
-77.3733952,35.6113845,Starlight Cafe,Food and drink,Starlight Cafe,Greenville,NC,104 W 5th St,27858,,,
-77.3587773,35.579782,Unitarian Universalist Congregation,Religious organization,Unitarian Universalist Congregation,Greenville,NC,131 Oakmont Dr,27858,Unitarian Universalist Congregation,https://www.facebook.com/uugreenvillenc/posts/10153907134535351,Facebook
-77.373047,35.611669,The Sojourner Whole Earth Provisions,Shopping,The Sojourner Whole Earth Provisions,Greenville,NC,414 Evans St,27858,,,
-77.4099442,35.6042634,Happy Girls Bras & Breastfeeding,Shopping,Happy Girls Bras & Breastfeeding,Greenville,NC,2301 Stantonsburg Rd,27834,,,
-77.3725864,35.6117572,Crave Restaurant and Bar,Food and drink,Crave Restaurant and Bar,Greenville,NC,409 Evans St,27858,,,
-80.003099,35.944116,Market Video & News,Shopping,Market Video & News,High Point,NC,1100 S Main St,27260,,,
-83.233336,35.042897,Lucas Patton Design,Professional service,Lucas Patton Design,Highlands,NC,2252 Dillard Rd,28741,,,
-79.113106,36.070763,Mystery Brewing Company,Brewery,Mystery Brewing Company,Hillsborough,NC,437 Dimmocks Mill Rd,27278,Mystery Brewing Company,https://twitter.com/mysterybrewing/status/712999892092862464,Twitter
-79.0997334,36.0735329,Weaver Street Market,Grocery,Weaver Street Market,Hillsborough,NC,228 S Churton St,27278,Weaver Street Market,https://www.facebook.com/weaverstreet/posts/10154721066714418,Facebook
-79.1110135,36.072917,Mystery Brewing Public House,Brewery,Mystery Brewing Public House,Hillsborough,NC,230 S Nash St,27278,,,
-79.683077,36.062621,"Replacements, Ltd.",Shopping,"Replacements, Ltd.",McLeansville,NC,1089 Knox Rd,27301,,,
-80.2804584,35.4848823,Pfeiffer University,Education,Pfeiffer University,Misenheimer,NC,48380 US-52,28109,,,
-82.2993062,35.6478067,Montreat Conference Center,Religious organization,Montreat Conference Center,Montreat,NC,401 Assembly Dr,28757,,,
-78.823276,35.864173,Pfeiffer University,Education,Pfeiffer University - Morrisville,Morrisville,NC,2880 Slater Rd,27560,,,
-77.7463652,35.0551638,Carolina Wild Juice,Grocery,Carolina Wild Juice,Pink Hill,NC,,28572,,,
-79.1812174,35.7207635,Angelina's Kitchen,Food and drink,Angelina's Kitchen,Pittsboro,NC,23 Rectory St,27312,,,
-78.6368954,35.7783054,The Remedy Diner,Food and drink,The Remedy Diner,Raleigh,NC,137 E Hargett St,27601,The Remedy Diner,https://www.instagram.com/p/BDYN5XNii5C/?taken-by=remedydiner,Instagram
-78.656054,35.782886,The Green Monkey,Shopping,The Green Monkey,Raleigh,NC,1217 Hillsborough St,27603,The Green Monkey,https://www.instagram.com/p/BDUg30owzRJ/?taken-by=greenmonkeyraleigh,Instagram
-78.6348201,35.7903701,Edge of Urge - Raleigh,Shopping,Edge of Urge - Raleigh,Raleigh,NC,215 E Franklin St #110,27604,Edge of Urge - Raleigh,https://www.instagram.com/p/BDX8JIrs9OC/?taken-by=edgeofurge,Instagram
-78.6447274,35.7756518,Videri Chocolate Factory,Shopping,Videri Chocolate Factory,Raleigh,NC,327 W Davie St,27601,Videri Chocolate Factory,https://twitter.com/viderichocolate/status/713783029458735104,Twitter
-78.6774284,35.7899851,Cup a Joe,Food and drink,Cup a Joe - Hillsborough St,Raleigh,NC,3100 Hillsborough St,27607,,,
-78.6758498,35.7796411,Cup a Joe,Food and drink,Cup a Joe - Mission Valley,Raleigh,NC,2109 Avent Ferry Rd,27606,,,
-78.6955971,35.766557,Talon Vapor,Shopping,Talon Vapor,Raleigh,NC,3231 Avent Ferry Rd #103,27606,,,
-78.6609831,35.7851034,Pullen Memorial Baptist Church,Religious organization,Pullen Memorial Baptist Church,Raleigh,NC,1801 Hillsborough St,27605,,,
-78.6756362,35.8007209,Community United Church of Christ,Religious organization,Community United Church of Christ,Raleigh,NC,814 Dixie Trail,27607,,,
-78.6799742,35.8006413,Unitarian Universalist Fellowship of Raleigh,Religious organization,Unitarian Universalist Fellowship of Raleigh,Raleigh,NC,3313 Wade Ave,27607,Unitarian Universalist Fellowship of Raleigh,http://www.uufr.org/index.php/community-life/lgbtq,Website
-78.639894,35.775173,Ruby Deluxe,Food and drink,Ruby Deluxe,Raleigh,NC,414 Fayetteville St,27601,Ruby Deluxe,https://www.facebook.com/RubyDeluxeRaleigh/?fref=nf# and https://www.instagram.com/p/BDXGPIcASR-/,Facebook
-78.6453955,35.7759848,LGBT Center of Raleigh,Community organization,LGBT Center of Raleigh,Raleigh,NC,324 S Harrington St,27603,,,
-78.7071208,35.8162305,Triangle Acupuncture Clinic,Health and wellness,Triangle Acupuncture Clinic,Raleigh,NC,2601 Lake Dr #103,27607,,,
-78.6365891,35.773754,Flanders Gallery,Arts and entertainment,Flanders Gallery,Raleigh,NC,505 S Blount St,27601,,,
-78.6366008,35.7737509,Lump Gallery,Arts and entertainment,Lump Gallery,Raleigh,NC,505 S Blount St,27601,,,
-78.659875,35.789615,Flying Biscuit Cafe,Food and drink,Flying Biscuit Cafe,Raleigh,NC,2016 Clark Ave,27605,,,
-78.6383917,35.7978663,Castle Video & News,Shopping,Castle Video & News,Raleigh,NC,1210 Capital Blvd,27603,,,
-80.88787,36.180389,Raffaldini Vineyards & Winery,Vineyard,Raffaldini Vineyards & Winery,Ronda,NC,450 Groce Rd,28670,,,
-79.175239,35.472763,Sanford Video & News,Shopping,Sanford Video & News,Sanford,NC,667 S Horner Blvd,27330,,,
-79.319075,35.946722,Haw River Farmhouse Ales,Brewery,Haw River Farmhouse Ales,Saxapahaw,NC,1713 Saxapahaw-Bethlehem Church Rd,27340,,,
-77.8941626,34.2120907,Tazy's Burgers & Grill,Food and drink,Tazy's Burgers & Grill,Wilmington,NC,4107 Oleander Dr,28403,,,
-77.8972894,34.2122278,Flaming Amy's Burrito Barn,Food and drink,Flaming Amy's Burrito Barn,Wilmington,NC,4002 Oleander Dr,28403,,,
-77.8893714,34.1989755,Flaming Amy's Burrito Barn,Food and drink,Flaming Amy's Burrito Barn,Wilmington,NC,4418 Shipyard Blvd,28412,,,
-77.8771591,34.310089,Flaming Amy's Burrito Barn,Food and drink,Flaming Amy's Burrito Barn,Wilmington,NC,3224 N College Rd,28405,,,
-77.8931457,34.1770155,Aunt Kerry's Pet Stop,Pets,Aunt Kerry's Pet Stop,Wilmington,NC,3600 S College Rd,28412,,,
-77.8851221,34.2224807,Trolly Stop Hotdogs,Food and drink,Trolly Stop Hotdogs,Wilmington,NC,4502 Fountain Dr,28403,,,
-77.8166111,34.2738988,Fermental Beer & Wine,Food and drink,Fermental Beer & Wine,Wilmington,NC,7250 Market St,28411,,,
-80.2571979,36.0950819,Club Snap,Food and drink,Club Snap,Winston-Salem,NC,1001 Burke St,27101,Club Snap,https://twitter.com/mysterybrewing/status/712999892092862464,Facebook
-80.2507509,36.0975563,Design Archives Vintage and Handmade Emporium,Shopping,Design Archives Vintage and Handmade Emporium,Winston-Salem,NC,636 W 4th St,27101,,,
-80.2685646,36.0897955,Wake Forest Baptist Medical Center,Health and wellness,Wake Forest Baptist Medical Center,Winston-Salem,NC,1 Medical Center Blvd,27103,,,
-80.2779719,36.1319172,Wake Forest University,Education,Wake Forest University,Winston-Salem,NC,1834 Wake Forest Rd,27106,,,
-78.6381787,35.7795897,Raleigh Soapery,Shopping,Raleigh Soapery,,NC,,,Raleigh Soapery,https://www.instagram.com/p/BDYXw5Svof3/?taken-by=raleighsoapery,Instagram
-79.79081,36.06823,Crop Salon,Beauty and spas,Crop Salon,Greensboro,NC,358 S Elm St,27401,Crop Salon,https://www.instagram.com/p/BDtz827J5D8/,instagram
-79.05234,35.96285,Joe Van Gogh,Food and drink,Joe Van Gogh,Chapel Hill,NC,1129 Weaver Dairy Rd AD,27514,Joe Van Gogh,https://twitter.com/AScho3/status/715219907332411394,twitter
-78.95573,35.92184,Joe Van Gogh,Food and drink,Joe Van Gogh,Durham,NC,4711 Hope Valley Rd,27707,Joe Van Gogh,https://twitter.com/AScho3/status/715219907332411394,twitter
-79.07525,35.91036,Carrboro Community Acupuncture,Health and wellness,Carrboro Community Acupuncture,Carrboro,NC,204 W Main St,27510,Carrboro Community Acupuncture,https://www.facebook.com/carrborocommunityacupuncture/posts/612489548903512,facebook
-78.90367,35.99652,Arcana,Food and drink,Arcana,Durham,NC,331 W Main St,27701,Arcana,https://www.facebook.com/arcanadurham/photos/a.784568454987241.1073741828.784565998320820/858114517632634/?type=3&theater,facebook
-79.0705,35.91035,Vespertine,Shopping,Vespertine,Carrboro,NC,118 E Main St,27510,Vespertine,https://www.facebook.com/Vespertine.Carrboro/photos/a.73061176483.73171.52335736483/10154042940056484/?type=3&theater,facebook
-78.93517,34.77038,Blind Cat Rescue,Pets,Blind Cat Rescue,St Pauls,NC,3101 E Great Marsh Church Rd,28384,Blind Cat Rescue,https://www.facebook.com/photo.php?fbid=10207989751638191&set=a.1426544780194.60242.1130031835&type=3&theater,facebook
-78.82835,35.83014,World in Motion Dance,Arts and entertainment,World in Motion Dance,Morrisville,NC,10269 Chapel Hill Rd,27560,World in Motion Dance,https://www.facebook.com/worldinmotiondance/posts/1002148873172539,facebook
-80.01771,35.97277,Sweet Josephine's,Food and drink,Sweet Josephine's,High Point,NC,1345 N Main St #101,27262,Sweet Josephine's,,
-86.52907,39.16732,Runcible Spoon Cafe and Restaurant,Food and drink,Runcible Spoon Cafe and Restaurant,Bloomington,IN,412 E 6th St,47408,Runcible Spoon Cafe and Restaurant,,
-79.05702,35.91408,Inter-Faith Council for Social Service,Community organization,Inter-Faith Council for Social Service,Chapel Hill,NC,100 W Rosemary St,27516,Inter-Faith Council for Social Service,,
-79.05853,35.94997,Inter-Faith Council for Social Service,Community organization,Inter-Faith Council for Social Service,Chapel Hill,NC,1315 Martin Luther King Jr Blvd,27514,Inter-Faith Council for Social Service,,
-79.0736,35.91042,Inter-Faith Council for Social Service,Community organization,Inter-Faith Council for Social Service,Chapel Hill,NC,110 W Main St,27510,Inter-Faith Council for Social Service,,
-80.76933,35.19669,American Beauty Garden Center,Shopping,American Beauty Garden Center,Charlotte,NC,4400 E Independence Blvd,28205,American Beauty Garden Center,,
-79.80634,36.06628,UNC Greensboro,Education,UNC Greensboro,Greensboro,NC,1400 Spring Garden St,27412,UNC Greensboro,https://www.facebook.com/uncg1891/posts/10153583547598590?pnref=story,facebook
-82.55334,35.59743,Dobra Tea,Food and drink,Dobra Tea,Asheville,NC,78 N Lexington Ave,28801,Dobra Tea,https://www.instagram.com/p/BDnr_naH84x/?taken-by=dobrateanc,instagram
-82.55483,35.61171,HomeGrown,Grocery,HomeGrown,Asheville,NC,371 Merrimon Ave,28801,HomeGrown,https://www.facebook.com/127581127288511/photos/a.169527796427177.35930.127581127288511/1051202758259672/?type=3&theater,facebook
-78.6386,35.77673,ORO Restaurant & Lounge,Food and drink,ORO Restaurant & Lounge,Raleigh,NC,18 E Martin St,27601,ORO Restaurant & Lounge,https://www.instagram.com/p/BDlywJokvPk/?taken-by=oro_restaurant,instagram
-79.06293,35.9107,DSI Comedy Theater,Arts and entertainment,DSI Comedy Theater,Chapel Hill,NC,462 W Franklin St,27514,DSI Comedy Theater,https://twitter.com/DSIcomedy/status/718464721473708032,twitter
-82.45884,35.31475,Sanctuary Brewing Company,,Sanctuary Brewing Company,Hendersonville,NC,147 1st Ave E,28792,Sanctuary Brewing Company,https://www.facebook.com/sanctuarybrew/?fref=ts,facebook
-79.80354,36.0841,Benessere Animal Hospital,Pets,Benessere Animal Hospital,Greensboro,NC,1052 Grecade St,27408,Benessere Animal Hospital,,
-78.91918,36.01203,Nido Durham: Coworking + Childcare,Professional services,Nido Durham: Coworking + Childcare,Durham,NC,902 Broad St,27705,Nido Durham: Coworking + Childcare,https://www.facebook.com/nidodurhamcoop/photos/a.793367417408180.1073741828.782670208477901/978332482245005/?type=3&theater,facebook
-79.92174,40.47017,Pittsburgh Art House,Arts and entertainment,Pittsburgh Art House,Pittsburgh,PA,5901 Stanton Ave,15206,Pittsburgh Art House,,
